data1,,,,,,
Transactions for Checking 1234,,,,,,
Posted Date,Transaction Date,Transaction Type,Check/Serial #,Description,Amount,Daily Posted Balance
01/01/2023,01/01/2023,Debit,,PAYROLL,(500.00),"20,000.00"
01/15/2023,01/15/2023,POS,,research.conference,(30.00),"19,970.00"
02/15/2023,02/15/2023,Check,100,CHECK,"(3,000.00)","16,970.00"
03/01/2023,03/01/2023,POS,,phone,(150.00),"16,820.00"
03/15/2023,03/15/2023,POS,,TAXACT,(190.00),"16,630.00"
03/29/2023,03/29/2023,Debit,,TAX,"(1,000.00)","15,630.00"
04/01/2023,04/01/2023,POS,,food,(35.00),"15,595.00"
04/20/2023,04/20/2023,POS,,ups,(6.00),"15,589.00"
05/10/2023,05/10/2023,Debit,,PAYROLL,(400.00),"15,189.00"
05/30/2023,05/30/2023,Debit,,Bob,"(1,500.00)","13,689.00"
,,,,,,
Transactions for Checking 5678,,,,,,
Posted Date,Transaction Date,Transaction Type,Check/Serial #,Description,Amount,Daily Posted Balance
01/02/2023,01/02/2023,POS,,GOOGLE,(12.00),"1,800.00"
01/03/2023,01/03/2023,POS,,Amazon web services,(160.00),"1,640.00"
01/15/2023,01/15/2023,POS,,GOOGLE,(50.00),"1,590.00"
02/01/2023,02/01/2023,POS,,GOOGLE,(12.00),"1,578.00"
02/05/2023,02/05/2023,POS,,Amazon web services,(160.00),"1,418.00"
02/15/2023,02/15/2023,POS,,GOOGLE,(50.00),"1,368.00"
03/02/2023,03/02/2023,POS,,GOOGLE,(12.00),"1,356.00"
03/05/2023,03/05/2023,POS,,Amazon web services,(150.00),"1,206.00"
03/15/2023,03/15/2023,POS,,GOOGLE,(50.00),"1,156.00"
03/30/2023,03/30/2023,POS,,GOOGLE,(10.00),"1,146.00"
04/03/2023,04/03/2023,POS,,Amazon web services,(160.00),986.00
04/15/2023,04/15/2023,POS,,GOOGLE,(50.00),936.00
04/20/2023,04/20/2023,POS,,parking,(10.00),926.00
04/21/2023,04/21/2023,POS,,TRANSFER,(100.00),826.00
04/25/2023,04/25/2023,POS,,coffee,(5.00),821.00
04/26/2023,04/25/2023,POS,,research.conference,(100.00),721.00
04/27/2023,04/26/2023,POS,,Jerry,(100.00),621.00
05/01/2023,05/01/2023,POS,,Sarah,(100.00),521.00
05/02/2023,05/02/2023,POS,,GOOGLE,(6.00),515.00
05/03/2023,05/03/2023,POS,,Amazon web services,(160.00),355.00
05/04/2023,05/04/2023,POS,,Amzn.com/bill,(20.00),335.00
05/15/2023,05/15/2023,POS,,GOOGLE,(50.00),285.00
05/24/2023,05/24/2023,Credit,,MOBILE DEPOSIT,"10,000.00","10,285.00"
05/30/2023,05/30/2023,POS,,Bob,"(1,000.00)","9,285.00"